OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-37064,2026-049R,2026-03-19T12:16:14.522880,16.03667729,.00022388,97.2784,98.0764,357.8304,2.2966,0,U,68157,999,95,-.22898351E-3,-.144348E-2,.10411467E-4
STARLINK-37069,2026-049S,2026-03-19T12:13:33.650400,16.06600253,.0001368,97.2784,98.0788,7.2640,352.8662,0,U,68158,999,95,.14785E-2,.1093981E-1,.68408E-3
STARLINK-37053,2026-049T,2026-03-19T07:44:16.985184,16.05261971,.00025313,97.2784,97.8738,141.0873,219.0591,0,U,68159,999,92,.95454192E-4,.65181E-3,.4110318E-5
STARLINK-36306,2026-049U,2026-03-19T12:13:21.534528,16.04569636,.0002364,97.2782,98.0789,13.0399,347.0943,0,U,68160,999,95,-.30343808E-3,-.201573E-2,.18201465E-4
STARLINK-37057,2026-049V,2026-03-20T19:44:00.954528,15.99652779,.00005165,97.2774,99.5066,61.6825,298.4505,0,U,68161,999,116,-.15396315E-2,-.764003E-2,.19799191E-3
STARLINK-37013,2026-049W,2026-03-21T10:40:08.036544,15.98955538,.00009781,97.2760,100.1921,285.2580,74.8590,0,U,68162,999,126,-.65159891E-2,-.3082394E-1,.27951994E-2
STARLINK-36958,2026-049X,2026-03-21T00:11:09.324384,15.99834123,.00015308,97.2762,99.7144,151.8774,208.2587,0,U,68163,999,119,-.11261656E-2,-.565483E-2,.11311572E-3
STARLINK-37002,2026-049Y,2026-03-20T19:41:35.358432,16.00359997,.0000568,97.2773,99.5096,170.3743,189.7546,0,U,68164,999,116,-.92965787E-3,-.481185E-2,.84172413E-4
STARLINK-36971,2026-049Z,2026-03-21T09:10:47.185248,15.99800071,.00082212,97.2764,100.1226,134.8506,225.3442,0,U,68165,999,125,-.32495883E-2,-.1621138E-1,.80040981E-3
STARLINK-36273,2026-049AA,2026-03-20T18:09:04.725216,16.01239572,.00006488,97.2750,99.4439,211.7263,148.3977,0,U,68166,999,115,-.5628694E-3,-.306844E-2,.36956624E-4
STARLINK-36969,2026-050A,2026-03-19T13:41:02.541120,15.97343210,.0000488,53.1618,232.5443,318.1927,41.9065,0,U,68167,999,203,-.16788E-2,-.762286E-2,.19812E-3
STARLINK-36984,2026-050B,2026-03-19T13:40:45.953184,15.97468217,.0000565,53.1620,232.5441,333.0752,27.0248,0,U,68168,999,203,-.16463E-2,-.752821E-2,.194E-3
STARLINK-37077,2026-050C,2026-03-19T13:40:26.349024,15.97622802,.0000745,53.1619,232.5425,335.0992,25.0002,0,U,68169,999,203,-.16046E-2,-.740191E-2,.18853E-3
