OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051KC,2026-03-20T00:41:19.491648,14.27417508,.01321384,86.2763,99.1037,249.8272,108.8667,0,U,34651,999,87283,.1858012E-2,.5017E-4,0
IRIDIUM 33 DEB,1997-051KD,2026-03-21T08:41:03.115968,14.63052360,.00266244,86.3270,296.0668,323.0751,215.0851,0,U,34652,999,89925,.74711767E-3,.3874E-4,0
IRIDIUM 33 DEB,1997-051KM,2026-03-21T12:38:13.080192,14.55509294,.00121511,86.3821,354.0516,49.1870,72.5144,0,U,34690,999,89531,.40287758E-3,.1776E-4,0
IRIDIUM 33 DEB,1997-051KT,2026-03-21T11:18:25.177536,14.73061623,.00568109,86.1825,341.2995,186.7868,299.3427,0,U,34696,999,88122,.6735479E-2,.44688E-3,0
IRIDIUM 33 DEB,1997-051LJ,2026-03-21T11:54:08.519616,14.40784455,.00140939,86.3442,350.3903,252.5184,285.1511,0,U,34765,999,89035,.35054991E-3,.1142E-4,0
IRIDIUM 33 DEB,1997-051MH,2026-03-20T07:20:13.727616,14.53113358,.0021068,86.3993,8.9212,124.4590,38.9811,0,U,34833,999,89131,.57088E-3,.2388E-4,0
IRIDIUM 33 DEB,1997-051MQ,2026-03-18T12:17:40.692192,14.78598958,.00152982,86.3045,270.1337,213.9017,176.3180,0,U,34870,999,90325,.86522965E-3,.6367E-4,0
IRIDIUM 33 DEB,1997-051MY,2026-03-20T19:21:17.874432,14.67372781,.0023737,86.3234,282.6657,240.2157,131.3647,0,U,34896,999,89057,.72172E-3,.4116E-4,0
IRIDIUM 33 DEB,1997-051NF,2026-03-21T09:20:25.636704,14.59606618,.00758158,86.1316,322.3472,323.4509,90.0801,0,U,34926,999,87893,.60733747E-2,.3019E-3,0
IRIDIUM 33 DEB,1997-051NR,2026-03-20T14:18:13.341600,14.42521179,.0018812,86.3747,15.1129,262.5538,275.2047,0,U,34985,999,88585,.60638E-3,.2033E-4,0
