OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-32707,2024-254S,2026-03-20T22:35:24.790560,15.27596416,.00008304,43.0024,312.8335,258.1396,101.9362,0,U,62478,999,6937,.62089409E-3,.16871E-3,0
STARLINK-32705,2024-254T,2026-03-20T21:22:49.497888,15.27578324,.00016043,43.0017,305.5390,281.7453,78.3219,0,U,62479,999,6929,.97745469E-3,.26732E-3,0
STARLINK-32743,2024-254U,2026-03-20T23:15:54.606528,15.27602474,.0001429,43.0040,312.1856,259.9563,100.1127,0,U,62480,999,6938,.7391835E-3,.20148E-3,0
STARLINK-32753,2024-254V,2026-03-20T22:03:57.534624,15.27607437,.00017921,43.0004,312.6731,260.6433,99.4216,0,U,62481,999,6937,.85762406E-3,.23433E-3,0
STARLINK-32699,2024-254W,2026-03-20T22:06:58.053600,15.27595512,.00013154,42.9994,316.1548,228.1288,131.9452,0,U,62482,999,6918,.60645535E-3,.16471E-3,0
THURAYA-4,2025-001A,2026-03-21T05:00:53.497728,1.00271592,.00000378,0.0243,99.9349,3.9470,194.3538,0,U,62483,999,329,0,.141E-5,0
SHIJIAN-25 (SJ-25),2025-002A,2026-03-20T18:09:54.406944,1.00266153,.0049144,4.9034,61.6702,166.4835,349.8463,0,U,62485,999,447,0,-.345E-5,0
STARLINK-32713,2025-003A,2026-03-20T16:38:09.311712,15.27559297,.00014255,42.9952,226.8930,264.1907,95.8782,0,U,62487,999,6833,.43271857E-3,.11657E-3,0
STARLINK-32732,2025-003B,2026-03-20T11:07:33.070944,15.27573605,.00017965,43.0016,227.7480,264.4831,95.5816,0,U,62488,999,6820,.60073526E-3,.16302E-3,0
STARLINK-32328,2025-003C,2026-03-20T17:00:20.195712,15.27579676,.00019412,43.0000,227.0069,288.3196,71.7444,0,U,62489,999,6835,.84964502E-3,.23192E-3,0
STARLINK-32332,2025-003D,2026-03-20T18:17:49.239744,15.27634847,.00015317,42.9988,226.5518,264.0001,96.0676,0,U,62490,999,6834,.10542187E-2,.2891E-3,0
STARLINK-32717,2025-003E,2026-03-20T11:33:27.687744,15.27589599,.00013552,42.9996,227.8874,273.7225,86.3472,0,U,62491,999,6832,.80339092E-3,.21918E-3,0
STARLINK-32757,2025-003F,2026-03-21T02:17:52.277280,15.27590352,.0001472,42.9989,224.7501,283.7537,76.3151,0,U,62492,999,6829,.68251705E-3,.18573E-3,0
STARLINK-32731,2025-003G,2026-03-21T02:36:22.408416,15.27593107,.00013185,42.9997,224.8523,273.6144,86.4557,0,U,62493,999,6841,.59432967E-3,.16135E-3,0
STARLINK-32694,2025-003H,2026-03-20T11:18:39.444768,15.27584381,.000127,43.0013,227.8045,254.4571,105.6141,0,U,62494,999,6832,.54055704E-3,.14644E-3,0
