norad_id,object_name,object_type,epoch_utc,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,altitude_km
26715,USA 157 (MILSTAR-2 2),Active,2026-03-21T19:03:26.236012+00:00,29854.494715,-28891.666041,-7573.560051,2.16851251,2.15769485,0.25726451,35859.06
26720,BSAT-2A,Active,2026-03-21T19:03:26.236012+00:00,41967.62663,3692.862548,-5368.758505,-0.21338822,3.02946096,0.40420898,36099.49
26766,INTELSAT 10 (IS-10),Active,2026-03-21T19:03:26.236012+00:00,-41619.705675,6303.135029,6110.041348,-0.48129239,-3.01772273,-0.16844078,36164.42
26857,OMNI-M1,Active,2026-03-21T19:03:26.236012+00:00,-10615.238482,-8908.169823,-9816.733455,1.64824945,-4.11033693,1.96336586,10611.55
26880,USA 159 (DSP 21),Active,2026-03-21T19:03:26.236012+00:00,41883.788737,-5778.793463,-4001.393227,0.46742008,2.96612174,0.60772482,36098.49
26900,INTELSAT 902 (IS-902),Active,2026-03-21T19:03:26.236012+00:00,24047.981021,34594.900226,-1328.454425,-2.50725512,1.75573446,0.29992442,35782.02
26931,PCSAT (NO-44),Active,2026-03-21T19:03:26.236012+00:00,-3445.893254,2078.27991,5924.561186,1.12997008,-6.72764669,3.01303877,790.97
26958,PROBA-1,Active,2026-03-21T19:03:26.236012+00:00,805.699908,-1831.266341,6591.726616,-0.74394003,-7.33841222,-1.91149188,517.65
26998,TIMED,Active,2026-03-21T19:03:26.236012+00:00,-3844.026309,-5535.217744,-1754.90666,2.80277419,0.27517078,-7.02287843,592.83
27004,MAROC-TUBSAT,Active,2026-03-21T19:03:26.236012+00:00,442.275789,-3028.705636,-6715.838929,-2.10459565,-6.45765823,2.7901694,1009.46
27056,COSMOS 2385,Active,2026-03-21T19:03:26.236012+00:00,-1059.939018,408.988556,-7728.456076,0.65225043,-7.08745285,-0.46351295,1440.52
27057,COSMOS 2386,Active,2026-03-21T19:03:26.236012+00:00,971.51098,-2294.273833,7377.794608,0.25918421,6.83699611,2.08818589,1416.13
27168,USA 164 (MILSTAR-2 3),Active,2026-03-21T19:03:26.236012+00:00,-24096.380606,33748.190398,7895.33668,-2.52884845,-1.73810855,-0.12556742,35841.7
27380,INTELSAT 904 (IS-904),Active,2026-03-21T19:03:26.236012+00:00,11812.002888,40454.905866,289.754614,-2.93309638,0.8553448,0.35751836,35774.07
27424,AQUA,Active,2026-03-21T19:03:26.236012+00:00,4184.103199,3756.849241,4272.178282,-2.40757061,-4.01838714,5.87510332,691.02
27426,DIRECTV 5 (TEMPO 1),Active,2026-03-21T19:03:26.236012+00:00,41860.985913,-3597.288594,-3373.747409,0.26599355,3.06397489,0.03649438,35779.5
27438,INTELSAT 905 (IS-905),Active,2026-03-21T19:03:26.236012+00:00,35486.646559,-22270.355996,-4661.766347,1.6263656,2.60899237,-0.07857559,35783.51
27445,GALAXY 3C (G-3C),Active,2026-03-21T19:03:26.236012+00:00,41412.503559,7561.709204,-2403.435128,-0.54877066,3.0245139,0.06647182,35794.76
27464,COSMOS 2390,Active,2026-03-21T19:03:26.236012+00:00,-3782.524046,-4085.170067,-5586.460244,4.3143488,2.72369449,-4.93443682,1515.99
27465,COSMOS 2391,Active,2026-03-21T19:03:26.236012+00:00,3708.013255,3667.278208,5855.907056,-4.7116827,-2.68543927,4.64114907,1470.55
27513,INTELSAT 906 (IS-906),Active,2026-03-21T19:03:26.236012+00:00,-41252.884427,7771.025575,4075.133353,-0.57180857,-3.02009299,-0.0266327,35804.78
27606,LATINSAT B,Active,2026-03-21T19:03:26.236012+00:00,1410.966989,2659.231592,-6282.697557,-6.99626463,2.91702196,-0.31229625,595.68
27607,SAUDISAT 1C (SO-50),Active,2026-03-21T19:03:26.236012+00:00,-4716.930771,-4890.444694,-1664.685884,3.55718355,-1.1226249,-6.56758865,624.5
27612,LATINSAT A,Active,2026-03-21T19:03:26.236012+00:00,4809.880193,3325.980615,3859.207463,0.70090283,5.19972974,-5.40729832,635.47
27632,NIMIQ 2,Active,2026-03-21T19:03:26.236012+00:00,41627.825575,-2704.456499,-5958.875198,0.23186646,3.0589833,0.2324871,35768.03
27640,CORIOLIS,Active,2026-03-21T19:03:26.236012+00:00,-903.089199,-4762.459508,-5346.474758,-0.64880687,5.56838251,-4.865702,845.74
27651,SORCE,Active,2026-03-21T19:03:26.236012+00:00,4134.075617,5433.011784,1251.645908,-5.22439505,2.87954401,4.67371934,569.81
27663,NAVSTAR 51 (USA 166),Active,2026-03-21T19:03:26.236012+00:00,-21578.477751,-3525.674631,-15160.521999,-1.07127521,-2.91539189,2.30394616,20235.44
27691,USA 167,Active,2026-03-21T19:03:26.236012+00:00,39916.771331,-11633.373781,-6879.54961,0.90166849,2.92784854,0.27980436,35771.76
27704,NAVSTAR 52 (USA 168),Active,2026-03-21T19:03:26.236012+00:00,-22185.020781,15408.348045,2178.999325,-1.47017378,-1.67429801,-3.12074189,20727.72
27711,USA 169 (MILSTAR-2 4),Active,2026-03-21T19:03:26.236012+00:00,-10254.084985,-40715.855324,-6457.790317,2.94816938,-0.65039131,-0.445048,36109.94
27718,ASIASAT 4,Active,2026-03-21T19:03:26.236012+00:00,-12540.772496,-40258.997805,252.678144,2.92624839,-0.912269,-0.23887209,35796.78
27811,HELLAS-SAT 2,Active,2026-03-21T19:03:26.236012+00:00,-3695.082956,41957.536282,2305.971814,-3.04092413,-0.28510424,0.34200975,35812.01
27825,THURAYA-2,Active,2026-03-21T19:03:26.236012+00:00,-35989.720199,21243.745041,5684.684643,-1.58378258,-2.62600585,-0.20964226,35805.68
27831,OPTUS C1,Active,2026-03-21T19:03:26.236012+00:00,-6815.585454,-41606.497236,-862.600801,3.01553435,-0.48489907,-0.35065575,35798.86
